HTTrack3.49-2+htsswf+htsjava launched on Sat, 12 May 2018 11:10:52 at https://www.nyerk.xyz +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -WC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://www.nyerk.xyz -O1 "C:\My Web Sites\Nyerk Forum" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

11:46:46	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link porpaczy.net/radar.png (from https://www.nyerk.xyz/viewtopic.php?f=6&t=143)
11:47:29	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s2.postimg.org/l0znqrusp/Aion0024.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=209)
11:47:29	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s2.postimg.org/6a6h7a149/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=209)
11:47:32	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s15.postimg.org/6zyl97upn/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179)
11:47:32	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s4.postimg.org/k66pxmy31/Untitled-2.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179)
11:47:32	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s22.postimg.org/jfqkqxxc1/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=179&p=1041)
11:47:32	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s21.postimg.org/r9lh2y9lz/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=189)
11:48:25	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s8.postimg.org/5kmkz7x1h/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:48:25	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s11.postimg.org/65cnh4yib/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:48:25	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s3.postimg.org/seieb5cmb/Untitled-2.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
